test_start,test_end,selected_params,cost_points,n_train,mean_r_train,n_test,mean_r_test,pf_test
2025-09-01,2025-11-01,exc=0.07|re=30|buf=3|tg=2R|delay=next_1s,0.0,1510,0.16992908489597233,392,0.02376093294460642,1.0363276171608988
2025-09-01,2025-11-01,exc=0.07|re=30|buf=3|tg=2R|delay=next_1s,0.25,1510,0.10921584670085199,392,-0.03437839114375352,0.9502050481383543
2025-09-01,2025-11-01,exc=0.07|re=30|buf=3|tg=2R|delay=next_1s,0.5,1510,0.0485026085057316,392,-0.0925177152321135,0.8726922127759927
2025-09-01,2025-11-01,exc=0.07|re=30|buf=3|tg=2R|delay=next_1s,1.0,1510,-0.07292386788450905,392,-0.20879636340883337,0.7388007755328724
2025-11-01,2026-01-01,exc=0.03|re=30|buf=3|tg=1R|delay=next_1s,0.0,2997,0.14644366588811034,489,0.09290096406660825,1.205029013539652
2025-11-01,2026-01-01,exc=0.03|re=30|buf=3|tg=1R|delay=next_1s,0.25,2997,0.07589545399459967,489,0.02362654980813682,1.0492221029347526
2025-11-01,2026-01-01,exc=0.03|re=30|buf=3|tg=1R|delay=next_1s,0.5,2997,0.005347242101089007,489,-0.04564786445033458,0.9099445636364519
2025-11-01,2026-01-01,exc=0.03|re=30|buf=3|tg=1R|delay=next_1s,1.0,2997,-0.13574918168593228,489,-0.18419669296727736,0.6714652625173972
