section,case,n,ev,win_rate,pf,maxdd,month_min,ci025,ci975,p_ev_gt0,positive_fraction
direct_mr_broad_holdout,0tick_cost0.0,30,0.5723809523809524,0.8666666666666667,4.856684491978609,2.142857142857143,0.0714285714285714,,,,
direct_mr_broad_holdout,0tick_cost0.5,30,0.4885714285714285,0.8666666666666667,4.067264573991031,2.314285714285714,-0.0128571428571428,,,,
direct_mr_broad_holdout,0tick_cost1.0,30,0.4047619047619046,0.8666666666666667,3.378731343283583,2.4857142857142858,-0.097142857142857,,,,
direct_mr_broad_holdout,1tick_cost0.0,29,0.2600411758626769,0.7241379310344828,1.7566273718786716,2.2857142857142856,0.0850649350649351,,,,
direct_mr_broad_holdout,1tick_cost0.5,29,0.1743872872676118,0.7241379310344828,1.4805226157820162,2.3613445378151257,-0.0183116883116883,,,,
direct_mr_broad_holdout,1tick_cost1.0,29,0.0887333986725467,0.7241379310344828,1.2322019934004245,2.7260737628384684,-0.1216883116883116,,,,
direct_mr_broad_holdout,2tick_cost0.0,30,0.3475949975949977,0.7666666666666667,2.2345394287276203,3.3428571428571425,0.0814285714285714,,,,
direct_mr_broad_holdout,2tick_cost0.5,30,0.2637782587782588,0.7666666666666667,1.8840410911977947,3.534126984126984,-0.0061904761904761,,,,
direct_mr_broad_holdout,2tick_cost1.0,30,0.17996151996152,0.7666666666666667,1.5709489619179149,3.744444444444445,-0.0938095238095237,,,,
direct_mr_broad_holdout,5tick_cost0.0,30,0.0854538054538054,0.6333333333333333,1.2017352537063908,4.981623931623932,-0.2437839937839938,,,,
direct_mr_broad_holdout,5tick_cost0.5,30,0.0067775742775743,0.6333333333333333,1.0151787911657204,5.5256410256410255,-0.3193764568764569,,,,
direct_mr_broad_holdout,5tick_cost1.0,30,-0.0718986568986569,0.6333333333333333,0.8468411059380444,6.069658119658119,-0.39496891996892,,,,
direct_mr_broad_holdout,1sec_cost0.0,29,0.184783798576902,0.6551724137931034,1.5169193079160923,4.166666666666667,-0.2777777777777778,,,,
direct_mr_broad_holdout,1sec_cost0.5,29,0.0765083096979648,0.6551724137931034,1.203156509144,4.4602272727272725,-0.38510101010101,,,,
direct_mr_broad_holdout,1sec_cost1.0,29,-0.0317671791809723,0.5862068965517241,0.9197239991826855,4.753787878787879,-0.4924242424242424,,,,
cluster_bootstrap,cost0.0,30,0.5874603174603176,,,,,0.3996194530443757,0.7615238095238095,1.0,
cluster_bootstrap,cost0.5,30,0.5036507936507937,,,,,0.315546218487395,0.6777784863945578,1.0,
cluster_bootstrap,cost1.0,30,0.4198412698412697,,,,,0.2300473292765381,0.5937888198757764,0.9998,
passive_v4_holdout,0tick_cost0.0,27,0.3181793515126848,0.8518518518518519,2.879246794871794,2.071428571428571,0.0952380952380952,,,,
passive_v4_holdout,0tick_cost0.5,27,0.2022707231040564,0.8518518518518519,2.088374851720048,2.7261904761904763,0.0019841269841269,,,,
passive_v4_holdout,0tick_cost1.0,27,0.086362094695428,0.8148148148148148,1.426730350259762,3.380952380952381,-0.0912698412698412,,,,
passive_v4_holdout,5tick_cost0.0,27,0.3948989282322615,0.8888888888888888,4.554090354090353,1.0,0.125,,,,
passive_v4_holdout,5tick_cost0.5,27,0.2789902998236331,0.8888888888888888,3.2679211469534057,1.125,-0.0022321428571428,,,,
passive_v4_holdout,5tick_cost1.0,27,0.1630816714150047,0.8518518518518519,2.208722976370035,1.25,-0.1294642857142857,,,,
passive_v4_holdout,1sec_cost0.0,27,0.2194139194139193,0.7777777777777778,1.9873626373626367,1.4285714285714288,0.125,,,,
passive_v4_holdout,1sec_cost0.5,27,0.103505291005291,0.7777777777777778,1.4180765805877118,1.7797619047619049,-0.0022321428571428,,,,
passive_v4_holdout,1sec_cost1.0,27,-0.0124033374033374,0.7407407407407407,0.9545544923574004,2.916666666666666,-0.1294642857142857,,,,
parameter_platform,125_neighbors_cost0.5,125,0.3676587301587302,,,,0.0966666666666666,,,,1.0
